District,Soil Color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop
Pune,Black,36,62,28,6.470450660119897,565.0586192586991,27.022519365871617,Tur
Pune,Clayey,90,30,30,6.823708006563114,2374.3193007271216,29.295800244042542,Rice
Pune,Red,56,35,148,7.562228255476353,499.5693554969304,32.91898657658053,Pomegranate
Solapur,Black,69,49,44,6.83838727155212,807.8026119010374,21.39191857526802,Maize
Kolhapur,Clayey,87,46,50,6.81449702395448,2975.7593045755693,27.33560211702892,Rice
Solapur,Clayey,60,38,41,5.656673705904868,2567.8481815448677,26.658340756354004,Rice
Sangli,Black,25,68,22,7.202876267976038,577.6074330790125,31.098084399876747,Tur
Sangli,Red,20,60,38,6.899474118201596,696.6560448297182,30.07733601566234,Tur
Kolhapur,Black,20,44,20,7.016524928495011,357.6447953405119,25.12262163565919,Jowar
Sangli,Black,20,41,21,6.287746928435279,517.5824954297102,27.961402748766204,Tur
Sangli,Light Brown,55,39,20,6.4805165746099815,523.5245765749717,32.97643653669828,Jowar
Sangli,Black,48,78,41,6.311101035580245,626.6782055719646,20.309588806013636,Soybean
Sangli,Red,56,33,49,6.62220621058511,564.64241124222,10.738377628497242,Wheat
Sangli,Light Brown,45,41,34,6.052956168537561,546.6445537938037,27.298885389675544,Jowar
Solapur,Black,28,69,20,6.138415460824592,710.8257074201899,27.955514923109085,Tur
Solapur,Black,67,40,46,6.998657780387163,816.5169765283543,18.93000039229928,Maize
Satara,Reddish Brown,65,48,109,7.282771577702422,471.4935113369137,26.45956467083099,Pomegranate
Solapur,Black,164,71,96,7.438257093779862,2190.484295187119,27.982004292095137,Sugarcane
Pune,Black,219,57,135,7.483491709007944,2825.1185276925944,30.131654234806085,Sugarcane
Kolhapur,Black,27,53,31,6.405614864681736,585.6497834965976,28.048760403633917,Tur
Kolhapur,Black,116,55,47,6.305579550447981,970.1673344831339,37.71811013024391,Cotton
Pune,Black,114,55,43,6.776842748485269,694.9719063207572,27.21389587661659,Cotton
Solapur,Red,84,60,42,6.033524803102248,835.2308200361306,19.80604226197288,Maize
Satara,Reddish Brown,46,33,149,6.589010732231104,672.6577925848073,39.65556571075875,Pomegranate
Solapur,Red,65,41,44,6.618629284921426,764.5455508495899,28.9743708072658,Maize
Sangli,Clayey,80,31,44,5.850504537467479,2354.755952379428,27.845180207532692,Rice
Solapur,Black,24,56,33,7.412853785545638,521.1164105738786,28.315858315734054,Tur
Kolhapur,Black,28,43,21,6.332062679790111,793.8820876421379,27.877295851011056,Tur
Satara,Red,25,40,31,6.034245309696081,553.459565988325,32.426203071422826,Tur
Satara,Clayey,89,34,31,6.729337761522997,2109.8956594488363,30.166230194804964,Rice
Solapur,Black,106,35,55,6.504334971938704,1061.6589543159653,31.528065568618125,Cotton
Pune,Black,173,65,118,6.699054989130478,2703.602639795995,32.570597605835545,Sugarcane
Solapur,Clayey,70,53,32,6.745431280427363,1771.6036566538473,30.4712185421051,Rice
Sangli,Black,73,41,24,6.858625118649033,422.03177997953804,14.56609376180171,Wheat
Satara,Red,39,105,235,6.957859284918623,670.5376795497666,21.002315452167494,Grapes
Sangli,Black,133,50,60,7.35381092828867,919.2623401714117,29.237436714172368,Cotton
Solapur,Black,115,59,53,7.779681203470535,893.2134156797538,36.60765380164425,Cotton
Satara,Black,24,50,20,6.902870050882709,558.7381554033527,27.499256314415234,Jowar
Satara,Red,21,53,29,6.675605616139418,509.75713151060233,33.0384835907865,Tur
Sangli,Black,88,52,41,6.9067374191055535,783.3357456903653,28.691801016126796,Maize
Sangli,Red,71,57,86,7.16207293520074,466.3663550284526,25.01566889307649,Pomegranate
Satara,Black,31,51,37,6.077873370650085,764.5606546590473,26.18332394908239,Tur
Sangli,Red,26,111,201,6.8209299509630315,649.9919776169772,25.86023098925835,Grapes
Pune,Red,39,41,37,6.635151450352276,776.9702439376715,27.922921873701675,Tur
Solapur,Red,29,57,39,7.435928854118314,535.1929563329833,32.85390637839683,Tur
Kolhapur,Clayey,83,30,43,5.997889315370265,2128.6199753479214,22.47719672922122,Rice
